 	2016-06-02 12:35:56	Local7.Warning	10.246.64.12	2366: Jun  2 07:06:19.523: %SW_MATM-4-MACFLAP_NOTIF: Host 185e.0f96.576c in vlan 24 is flapping between port Gi2/0/47 and port Gi4/0/47
2016-06-02 12:38:57	Local7.Warning	10.71.1.66	20663: Jun  2 07:09:20.094 UTC: %SW_MATM-4-MACFLAP_NOTIF: Host e48d.8c95.0d47 in vlan 221 is flapping between port Fa0/16 and port Fa0/28
2016-06-02 12:38:58	Local7.Notice	10.98.1.62	27527: Jun  2 07:09:21.166: %SFF8472-5-THRESHOLD_VIOLATION: Gi5/0/49: Rx power high warning; Operating value:  -3.8 dBm, Threshold value:  -5.0 dBm.
2016-06-02 12:39:02	Local7.Warning	10.87.250.2	271596: Jun  2 07:09:24.117 UTC: %MAC_MOVE-SP-4-NOTIF: Host 1008.b142.d71b in vlan 216 is flapping between port Gi4/9 and port Gi4/8
2016-06-02 12:39:11	Local7.Warning	10.71.1.66	20664: Jun  2 07:09:34.129 UTC: %SW_MATM-4-MACFLAP_NOTIF: Host e48d.8c95.0d47 in vlan 221 is flapping between port Fa0/16 and port Fa0/28
2016-06-02 12:39:12	Local7.Warning	10.37.1.23	300158: Jun  2 07:09:34.809: %SW_MATM-4-MACFLAP_NOTIF: Host 001b.4f13.7016 in vlan 119 is flapping between port Gi3/0/23 and port Gi3/0/19
2016-06-02 12:39:15	Local7.Error	10.92.224.53	29579: Jun  2 07:09:37.664: %LINK-3-UPDOWN: Interface Serial0/0/1, changed state to down
2016-06-02 12:39:24	Local7.Warning	10.31.1.23	46453: Jun  2 06:40:32.914 UTC: %CDP-4-DUPLEX_MISMATCH: duplex mismatch discovered on GigabitEthernet1/0/34 (not full duplex), with north-bogota-ap2 GigabitEthernet0 (full duplex).
2016-06-02 12:39:26	Local7.Warning	10.246.64.12	2374: Jun  2 07:09:49.133: %SW_MATM-4-MACFLAP_NOTIF: Host 185e.0f96.576c in vlan 24 is flapping between port Gi2/0/47 and port Gi2/0/48
2016-06-02 12:39:27	Local7.Warning	10.37.1.23	300159: Jun  2 07:09:49.558: %SW_MATM-4-MACFLAP_NOTIF: Host 001b.4f13.7016 in vlan 119 is flapping between port Gi3/0/15 and port Gi3/0/23
2016-06-02 12:39:27	Local7.Warning	10.71.1.66	20665: Jun  2 07:09:50.151 UTC: %SW_MATM-4-MACFLAP_NOTIF: Host e48d.8c95.0d47 in vlan 221 is flapping between port Fa0/16 and port Fa0/28
2016-06-02 12:39:28	Local7.Warning	10.31.1.22	27223: Jun  2 07:09:51.324 UTC: %CDP-4-DUPLEX_MISMATCH: duplex mismatch discovered on GigabitEthernet3/0/7 (not full duplex), with north-bogota-ap5 GigabitEthernet0 (full duplex).
2016-06-02 12:39:28	Local7.Warning	10.31.1.22	27224: Jun  2 07:09:51.322 UTC: %CDP-4-DUPLEX_MISMATCH: duplex mismatch discovered on GigabitEthernet3/0/7 (not full duplex), with north-bogota-ap5 GigabitEthernet0 (full duplex). (NBogota-Stack-S2-3)
2016-06-02 12:39:34	Local7.Error	10.92.224.53	29580: Jun  2 07:09:57.288: %LINK-3-UPDOWN: Interface Serial0/0/1, changed state to up
2016-06-02 12:39:34	Local7.Notice	10.92.224.53	29581: Jun  2 07:09:58.288: %LINEPROTO-5-UPDOWN: Line protocol on Interface Serial0/0/1, changed state to up
2016-06-02 12:39:37	Local7.Warning	10.87.250.2	271597: Jun  2 07:09:59.285 UTC: %MAC_MOVE-SP-4-NOTIF: Host 006d.5222.a113 in vlan 100 is flapping between port Gi4/8 and port Gi4/9
2016-06-02 12:39:40	Local7.Warning	10.246.64.12	2375: Jun  2 07:10:03.572: %SW_MATM-4-MACFLAP_NOTIF: Host 185e.0f96.576c in vlan 24 is flapping between port Gi1/0/48 and port Gi2/0/48
2016-06-02 12:39:41	Local7.Warning	10.71.1.66	20666: Jun  2 07:10:04.160 UTC: %SW_MATM-4-MACFLAP_NOTIF: Host e48d.8c95.0d47 in vlan 221 is flapping between port Fa0/16 and port Fa0/28
